id,timestamp,agent,norm,encoder,mem_budget,er_mode,epochs,seed,Avg_End_Acc,Avg_End_Fgt,Avg_Cur_Acc,train_time_sec
1,2025-10-14 00:19:06,SFT,LN,CNN,0.0,task,20,1234,30.54,100.0,97.21,1019.12
2,2025-10-14 00:39:28,ER,LN,CNN,0.05,task,20,0,83.74,24.15,99.84,1222.39
3,2025-10-14 01:00:46,ER,BN,CNN,0.05,task,20,0,76.15,33.49,98.47,1278.31
4,2025-10-14 01:20:18,EWC,LN,CNN,0.0,task,20,0,33.33,100.0,100.0,1171.51
5a,2025-10-14 01:35:22,SFT,LN,TST,0.0,task,20,0,32.91,99.77,99.42,903.88
5b,2025-10-14 01:50:18,ER,LN,TST,0.05,task,20,0,75.11,36.22,99.25,896.17
6_mem10,2025-10-14 02:07:54,ER,LN,CNN,0.1,task,20,0,92.84,9.82,99.38,1055.46
6_mem15,2025-10-14 02:27:21,ER,LN,CNN,0.15,task,20,0,91.58,11.22,99.06,1167.75
6_mem20,2025-10-14 02:46:47,ER,LN,CNN,0.2,task,20,0,92.49,10.34,99.38,1166.03
6_mem30,2025-10-14 03:06:17,ER,LN,CNN,0.3,task,20,0,94.69,7.03,99.37,1169.66
6_mem40,2025-10-14 03:25:44,ER,LN,CNN,0.4,task,20,0,95.02,6.09,99.09,1166.99
6_mem50,2025-10-14 03:45:15,ER,LN,CNN,0.5,task,20,0,92.66,9.65,99.09,1171.1
